jan_code,product_name,last_price,last_availability,monitor_flag,notified_flag
3045386381531,,,unknown,TRUE,FALSE
3045386382118,,,unknown,TRUE,FALSE
3045386382125,,,unknown,TRUE,FALSE
4210201212768,,,unknown,TRUE,FALSE
4210201366546,,,unknown,TRUE,FALSE
4210201367420,,,unknown,TRUE,FALSE
4210201393337,,,unknown,TRUE,FALSE
4210201393979,,,unknown,TRUE,FALSE
4210201394037,,,unknown,TRUE,FALSE
4210201412984,,,unknown,TRUE,FALSE
4210201413042,,,unknown,TRUE,FALSE
4210201425908,,,unknown,TRUE,FALSE
4210201440536,,,unknown,TRUE,FALSE
4210201443254,,,unknown,TRUE,FALSE
4210201443278,,,unknown,TRUE,FALSE
4210201443339,,,unknown,TRUE,FALSE
4210201443353,,,unknown,TRUE,FALSE
4210201443377,,,unknown,TRUE,FALSE
4210201443391,,,unknown,TRUE,FALSE
4210201443490,,,unknown,TRUE,FALSE
4510772240123,,,unknown,TRUE,FALSE
4512223691270,,,unknown,TRUE,FALSE
4512223691287,,,unknown,TRUE,FALSE
4512223691294,,,unknown,TRUE,FALSE
4512223691300,,,unknown,TRUE,FALSE
4512223695186,,,unknown,TRUE,FALSE
4512223695193,,,unknown,TRUE,FALSE
4521329322698,,,unknown,TRUE,FALSE
4521329346229,,,unknown,TRUE,FALSE
4521329365824,,,unknown,TRUE,FALSE
4521329368009,,,unknown,TRUE,FALSE
4521329373126,,,unknown,TRUE,FALSE
4521329394756,,,unknown,TRUE,FALSE
4534530136718,,,unknown,TRUE,FALSE
4537694306850,,,unknown,TRUE,FALSE
4537694315999,,,unknown,TRUE,FALSE
4537694326964,,,unknown,TRUE,FALSE
4537694326971,,,unknown,TRUE,FALSE
4537694326988,,,unknown,TRUE,FALSE
4537694341066,,,unknown,TRUE,FALSE
4540790034039,,,unknown,TRUE,FALSE
4540790213939,,,unknown,TRUE,FALSE
4540790232435,,,unknown,TRUE,FALSE
4540790249631,,,unknown,TRUE,FALSE
4540790252235,,,unknown,TRUE,FALSE
4540790314230,,,unknown,TRUE,FALSE
4540790319235,,,unknown,TRUE,FALSE
4540790332135,,,unknown,TRUE,FALSE
4540790332333,,,unknown,TRUE,FALSE
4540790333736,,,unknown,TRUE,FALSE
4540790333934,,,unknown,TRUE,FALSE
4540790335136,,,unknown,TRUE,FALSE
4540790368233,,,unknown,TRUE,FALSE
4540790368431,,,unknown,TRUE,FALSE
4540790393433,,,unknown,TRUE,FALSE
4545350052690,,,unknown,TRUE,FALSE
4545350052904,,,unknown,TRUE,FALSE
4545350053871,,,unknown,TRUE,FALSE
4546821920890,,,unknown,TRUE,FALSE
4546821921965,,,unknown,TRUE,FALSE
4546821923785,,,unknown,TRUE,FALSE
4546821923860,,,unknown,TRUE,FALSE
4547410173772,,,unknown,TRUE,FALSE
4547410173789,,,unknown,TRUE,FALSE
4547410173789,,,unknown,TRUE,FALSE
4547410269307,,,unknown,TRUE,FALSE
4547410310412,,,unknown,TRUE,FALSE
4547410369137,,,unknown,TRUE,FALSE
4547410370003,,,unknown,TRUE,FALSE
4547410377224,,,unknown,TRUE,FALSE
4547410377231,,,unknown,TRUE,FALSE
4547410413250,,,unknown,TRUE,FALSE
4547410413298,,,unknown,TRUE,FALSE
4547410423419,,,unknown,TRUE,FALSE
4547410423433,,,unknown,TRUE,FALSE
4547410427875,,,unknown,TRUE,FALSE
4547410427936,,,unknown,TRUE,FALSE
4547410428032,,,unknown,TRUE,FALSE
4547410428056,,,unknown,TRUE,FALSE
4547410431025,,,unknown,TRUE,FALSE
4547410431032,,,unknown,TRUE,FALSE
4547410431049,,,unknown,TRUE,FALSE
4547410431063,,,unknown,TRUE,FALSE
4547410440348,,,unknown,TRUE,FALSE
4547410440379,,,unknown,TRUE,FALSE
4547410441512,,,unknown,TRUE,FALSE
4547410441529,,,unknown,TRUE,FALSE
